TYPE;Model;Kv_rpm_v;Pole (number);Io (A);r_omn;weight_g;Imax (A);No s;Voltage;Inom_max (A);Eta_max (%);Kt_Nm_A;Tnom_Nm;Rend nom;Icc;I opt;Eta opt;Cf_Nm;Tmax_Nm;Estim -->;M*;R*;Cf*
SCORPION;?Scorpion SII-5525-210KV;195;14;0.88;0.034;708;80;12;44.4;;;0.048970752;3.875;92.84126126;1305.882353;33.89950546;94.87557124;0.043094262;3.917660138;;1091.94605;0.023107592;0.131658039
SCORPION;?Scorpion SII-5535-160KV;160;14;1.11;0.027;906;90;12;44.4;;;0.059683104;5.305;93.36119369;1644.444444;42.72391992;94.87134758;0.066248245;5.371479329;;986.4724468;0.019409506;0.118940883
SCORPION;?Scorpion SII-5535-190KV;190;14;1.24;0.022;906;95;12;44.4;;;0.050259456;4.712;94.04897108;2018.181818;50.02544807;95.10396461;0.062321725;4.774648293;;1173.241406;0.01619842;0.141459977
SCORPION;Scorpion SII-6530-180KV;180;14;1.26;0.022;1043;110;12;44.4;;;0.053051648;5.769;93.46652744;2018.181818;50.42726535;95.06513587;0.066845076;5.835681247;;1209.033697;0.022186226;0.145775522
SCORPION;Scorpion SII-6530-150KV;150;14;1.15;0.032;1043;95;12;44.4;;;0.063661977;5.975;92.02550972;1387.5;39.94527506;94.3250054;0.073211274;6.047887837;;1209.03;0.02;0.15
KDEDirect;KDE1806XF-2350;2350;12;0.4;0.117;18;18;2;7.4;;;0.00406353;0.073143548;69.95075075;63.24786325;5.029825573;;0.001625412;0.073143548;;;;
KDEDirect;KDE2304XF-2350;2350;12;0.7;0.091;24;20;2;7.4;;;0.00406353;0.081270609;72.76621622;81.31868132;7.54473836;;0.002844471;0.081270609;;;;
KDEDirect;KDE2306XF-2050;2050;12;0.6;0.068;29;24;2;7.4;;;0.004658193;0.111796643;75.9972973;108.8235294;8.080477563;;0.002794916;0.111796643;;;;
KDEDirect;KDE2306XF-2550;2550;12;1.2;0.044;29;34;2;7.4;;;0.003744822;0.127323954;76.96788553;168.1818182;14.20627262;;0.004493787;0.127323954;;;;
KDEDirect;KDE2315XF-2050;2050;12;1.3;0.034;64;44;2;7.4;;;0.004658193;0.204960512;77.42653563;217.6470588;16.8208554;;0.006055651;0.204960512;;;;
KDEDirect;KDE2315XF-965;965;12;0.5;0.102;64;26;3;11.1;;;0.009895644;0.257286747;74.64449064;108.8235294;7.376433061;;0.004947822;0.257286747;;;;
KDEDirect;KDE2315XF-885;885;12;0.5;0.127;64;24;3;11.1;;;0.010790166;0.258963975;71.02927928;87.4015748;6.610657108;;0.005395083;0.258963975;;;;
KDEDirect;KDE2814XF-775;775;12;0.5;0.069;95;36;3;11.1;;;0.012321673;0.443580228;76.54354354;160.8695652;8.968544063;;0.006160837;0.443580228;;;;
KDEDirect;KDE2814XF-515;515;12;0.3;0.13;95;24;4;14.8;;;0.018542323;0.445015763;77.93243243;113.8461538;5.844129204;;0.005562697;0.445015763;;;;
KDEDirect;KDE3510XF-715;715;12;0.5;0.054;120;45;3;11.1;;;0.01335566;0.60100468;77.24024024;205.5555556;10.13793755;;0.00667783;0.60100468;;;;
KDEDirect;KDE3510XF-475;475;12;0.2;0.105;120;30;4;14.8;;;0.020103782;0.603113469;78.19144144;140.952381;5.309470425;;0.004020756;0.603113469;;;;
KDEDirect;KDE4012XF-400;400;18;0.5;0.08;145;32;4;14.8;;;0.023873241;0.763943727;81.41047297;185;9.617692031;;0.011936621;0.763943727;;;;
KDEDirect;KDE4014XF-380;380;18;0.5;0.075;160;36;4;14.8;;;0.025129728;0.904670203;80.62124625;197.3333333;9.933109617;;0.012564864;0.904670203;;;;
KDEDirect;KDE4213XF-360;360;24;0.4;0.081;175;38;4;14.8;;;0.026525824;1.007981306;78.36899004;182.7160494;8.549059583;;0.01061033;1.007981306;;;;
KDEDirect;KDE3520XF-400;400;12;0.3;0.078;190;45;4;14.8;;;0.023873241;1.074295866;75.77522523;189.7435897;7.54473836;;0.007161972;1.074295866;;;;
KDEDirect;KDE4215XF-465;465;24;0.7;0.052;195;62;4;14.8;;;0.020536122;1.273239545;77.3331299;284.6153846;14.11491301;;0.014375285;1.273239545;;;;
KDEDirect;KDE5215XF-435;435;24;1.4;0.031;305;72;4;14.8;;;0.021952406;1.580573228;83.26771772;477.4193548;25.85318349;;0.030733368;1.580573228;;;;
KDEDirect;KDE5215XF-330;330;24;0.7;0.044;305;62;4;14.8;;;0.028937262;1.794110268;80.64664342;336.3636364;15.34452819;;0.020256084;1.794110268;;;;
KDEDirect;KDE5215XF-220;220;24;0.5;0.078;305;44;6;22.2;;;0.043405894;1.909859317;83.57985258;284.6153846;11.92927878;;0.021702947;1.909859317;;;;
KDEDirect;KDE6213XF-185;185;24;0.6;0.072;360;62;6;22.2;;;0.051617819;3.200304802;79.11874455;308.3333333;13.60147051;;0.030970692;3.200304802;;;;
maxon EC ;EC 4 ?4 mm, brushless,0.5 Watt;12200;2;0.0234;0.0231;1.2;0.468;0.810810811;3;;;0.000784;0.000215;94.657658;129.8701299;1.743261609;;1.83E-05;0.000366317;;;;
maxon EC ;EC 4 ?4 mm, brushless,0.5 Watt;6240;2;0.0121;0.0881;1.2;0.263;1.621621622;6;;;0.00153;0.000222;95.03083471;68.10442679;0.907779469;;0.000018513;0.000402478;;;;
maxon EC ;EC 4 ?4 mm, brushless,1.0 Watt;14200;2;0.0776;0.00946;1.8;1.15;0.810810811;3;;;0.000671;0.000319;92.91401045;317.1247357;4.960733766;;5.21E-05;0.000773359;;;;
maxon EC ;EC 4 ?4 mm, brushless,1.0 Watt;5360;2;0.0248;0.0668;1.8;0.358;1.621621622;6;;;0.00178;0.000341;92.70166303;89.82035928;1.492496201;;0.000044144;0.000637807;;;;
maxon EC ;EC 6 ?6 mm, brushless,1.5 Watt;7900;2;0.0469;0.065;3;0.688;1.621621622;6;;;0.00121;0.000339;92.48861453;92.30769231;2.080680362;;0.000056749;0.000831635;;;;
maxon EC ;EC 6 ?6 mm, brushless,1.5 Watt;3040;2;0.0155;0.436;3;0.188;3.243243243;12;;;0.00314;0.00033;91.12856915;27.52293578;0.653150446;;0.00004867;0.000590549;;;;
maxon EC ;EC 6 ?6 mm, brushless, 2 Watt;25800;2;0.209;0.005;3;3.92;0.810810811;3;;;0.00037;0.000394;94.04986735;600;11.19821414;;0.00007733;0.001450901;;;;
